URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:19,02 Jun 2020 19:08:19,02 Jun 2020 19:08:19,02 Jun 2020 19:08:19,7,,,,0,0,7,74.49707,0.0,0.0,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:19,02 Jun 2020 19:08:19,02 Jun 2020 19:08:19,02 Jun 2020 19:08:19,6,,,,0,0,6,86.91406,0.0,0.0,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:24,02 Jun 2020 19:08:24,02 Jun 2020 19:08:24,02 Jun 2020 19:08:24,5,,,,0,0,5,104.296875,0.0,0.0,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:24,02 Jun 2020 19:08:24,02 Jun 2020 19:08:24,02 Jun 2020 19:08:24,8,,,,0,0,8,65.18555,0.0,0.0,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:29,02 Jun 2020 19:08:29,02 Jun 2020 19:08:29,02 Jun 2020 19:08:29,7,,,,0,1,6,74.49707,0.0,219.72656,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:29,02 Jun 2020 19:08:29,02 Jun 2020 19:08:29,02 Jun 2020 19:08:29,12,,,,1,0,11,43.45703,301.7578,0.0,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:34,02 Jun 2020 19:08:34,02 Jun 2020 19:08:34,02 Jun 2020 19:08:34,9,,,,0,1,8,57.942383,0.0,219.72656,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:34,02 Jun 2020 19:08:34,02 Jun 2020 19:08:34,02 Jun 2020 19:08:34,8,,,,0,1,7,65.18555,0.0,219.72656,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=1,COMPLETE,200,https,GET,application/json,/192.168.1.155,51455,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:39,02 Jun 2020 19:08:39,02 Jun 2020 19:08:39,02 Jun 2020 19:08:39,9,,,,0,1,8,57.942383,0.0,219.72656,,309,,,0,225,,22.1%
https://us.api.iheart.com/api/v3/live-meta/stream/5727/currentTrackMeta?defaultMetadata=0,COMPLETE,200,https,GET,application/json,/192.168.1.155,51575,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 19:08:39,02 Jun 2020 19:08:39,02 Jun 2020 19:08:39,02 Jun 2020 19:08:39,73,38,9,18,1,0,7,367.0,1377.9297,0.0,1102,309,,25798,0,225,,22.1%
